TID,Item
T1453,shopping bags
T1454,beverages
T1454,soda
T1454,chocolate
T1455,UHT-milk
T1456,cream cheese 
T1456,pasta
T1456,jam
T1456,sweet spreads
T1456,coffee
T1456,soda
T1456,chocolate
T1457,rolls
T1457,buns
T1457,liquor
T1457,red
T1457,blush wine
T1458,rolls
T1458,buns
T1459,rolls
T1459,buns
T1459,bottled water
T1460,sausage
T1460,whole milk
T1460,brown bread
T1460,pastry
T1461,hard cheese
T1461,rolls
T1461,buns
T1461,soda
T1461,shopping bags
T1462,canned beer
T1463,canned beer
T1464,citrus fruit
T1464,tropical fruit
T1464,berries
T1464,yogurt
T1464,cream cheese 
T1464,brown bread
T1464,meat spreads
T1465,yogurt
T1466,yogurt
T1466,beverages
T1466,rolls
T1466,buns
T1466,fruit
T1466,vegetable juice
T1466,pot plants
T1467,salty snack
T1468,tropical fruit
T1468,frozen vegetables
T1469,citrus fruit
T1469,other vegetables
T1469,whole milk
T1469,butter
T1469,frozen vegetables
T1469,rolls
T1469,buns
T1469,brown bread
T1469,fruit
T1469,vegetable juice
T1469,cleaner
T1470,rolls
T1470,buns
T1471,whipped
T1471,sour cream
T1471,salty snack
T1472,citrus fruit
T1472,whole milk
T1472,butter milk
T1472,whipped
T1472,sour cream
T1473,butter milk
T1474,other vegetables
T1474,whole milk
T1474,soups
T1474,bottled water
T1474,bottled beer
T1475,canned beer
T1476,soda
T1476,fruit
T1476,vegetable juice
T1477,tropical fruit
T1477,whole milk
T1478,coffee
T1478,soda
T1478,bottled beer
T1478,liquor (appetizer)
T1478,bathroom cleaner
T1479,ham
T1479,other vegetables
T1479,whole milk
T1479,frozen vegetables
T1480,whipped
T1480,sour cream
T1481,citrus fruit
T1481,tropical fruit
T1481,whole milk
T1481,rolls
T1481,buns
T1481,bottled water
T1481,long life bakery product
T1481,decalcifier
T1481,newspapers
T1482,dessert
T1482,fruit
T1482,vegetable juice
T1482,newspapers
T1483,whole milk
T1483,rolls
T1483,buns
T1484,canned beer
T1485,rolls
T1485,buns
T1485,soda
T1486,fish
T1486,dessert
T1486,yogurt
T1486,cling film
T1486,bags
T1487,meat
T1487,other vegetables
T1487,rolls
T1487,buns
T1487,fruit
T1487,vegetable juice
T1487,cling film
T1487,bags
T1488,sausage
T1488,rolls
T1488,buns
T1489,other vegetables
T1489,oil
T1489,margarine
T1489,dishes
T1490,tropical fruit
T1490,other vegetables
T1490,waffles
T1490,napkins
T1491,baby cosmetics
T1492,citrus fruit
T1492,coffee
T1493,tropical fruit
T1493,root vegetables
T1493,whole milk
T1493,yogurt
T1493,whipped
T1493,sour cream
T1493,domestic eggs
T1493,rolls
T1493,buns
T1493,margarine
T1493,bottled water
T1494,spices
T1495,sausage
T1495,hamburger meat
T1495,citrus fruit
T1495,root vegetables
T1495,whole milk
T1495,yogurt
T1495,rolls
T1495,buns
T1496,sausage
T1496,condensed milk
T1496,rolls
T1496,buns
T1496,coffee
T1497,beef
T1497,other vegetables
T1497,margarine
T1497,candles
T1498,canned beer
T1498,salty snack
T1498,shopping bags
T1499,canned beer
T1500,rolls
T1500,buns
T1500,soda
T1500,waffles
T1500,shopping bags
T1501,whole milk
T1501,beverages
T1501,bottled water
T1501,newspapers
T1502,root vegetables
T1502,brown bread
T1502,pot plants
T1503,yogurt
T1504,onions
T1504,shopping bags
T1505,hamburger meat
T1505,citrus fruit
T1505,tropical fruit
T1505,rolls
T1505,buns
T1505,rice
T1505,coffee
T1506,napkins
T1506,dishes
T1507,other vegetables
T1507,butter milk
T1507,UHT-milk
T1507,brown bread
T1507,bottled water
T1508,chicken
T1508,other vegetables
T1508,whole milk
T1508,curd
T1508,UHT-milk
T1508,rolls
T1508,buns
T1508,newspapers
T1509,meat
T1509,whole milk
T1509,frozen potato products
T1509,margarine
T1509,soda
T1509,detergent
T1510,rolls
T1510,buns
T1511,butter
T1511,yogurt
T1511,rolls
T1511,buns
T1511,jam
T1511,soda
T1512,sausage
T1512,fish
T1512,other vegetables
T1512,brown bread
T1512,shopping bags
T1513,rolls
T1513,buns
T1514,other vegetables
T1514,rolls
T1514,buns
T1515,frankfurter
T1515,whole milk
T1516,newspapers
T1517,turkey
T1517,citrus fruit
T1517,tropical fruit
T1517,grapes
T1517,root vegetables
T1517,onions
T1517,other vegetables
T1517,rolls
T1517,buns
T1517,brown bread
T1517,pastry
T1517,pickled vegetables
T1517,jam
T1517,cat food
T1517,fruit
T1517,vegetable juice
T1517,napkins
T1518,onions
T1518,butter
T1518,roll products 
T1518,oil
T1518,napkins
T1518,newspapers
T1519,whole milk
T1519,curd
T1519,ice cream
T1519,Instant food products
T1519,canned fish
T1519,newspapers
T1520,yogurt
T1520,frozen vegetables
T1520,sweet spreads
T1520,bottled water
T1520,skin care
T1520,newspapers
T1521,whipped
T1521,sour cream
T1521,flower (seeds)
T1522,frozen vegetables
T1522,brown bread
T1523,citrus fruit
T1523,whole milk
T1523,domestic eggs
T1523,canned fruit
T1523,dog food
T1523,misc. beverages
T1523,detergent
T1524,onions
T1524,yogurt
T1524,oil
T1525,sausage
T1525,butter milk
T1525,rolls
T1525,buns
T1525,soda
T1526,other vegetables
T1526,butter
T1526,pastry
T1526,napkins
T1526,dishes
T1527,frankfurter
T1527,brown bread
T1527,sugar
T1528,domestic eggs
T1528,rolls
T1528,buns
T1528,white wine
T1529,rolls
T1529,buns
T1529,canned fish
T1529,soda
T1530,bottled beer
T1531,waffles
T1532,condensed milk
T1532,coffee
T1532,napkins
T1533,canned beer
T1534,meat
T1534,onions
T1534,other vegetables
T1534,chewing gum
T1534,dishes
T1535,whole milk
T1535,frozen vegetables
T1535,fruit
T1535,vegetable juice
T1535,long life bakery product
T1536,liver loaf
T1536,beef
T1536,pip fruit
T1536,packaged fruit
T1536,vegetables
T1536,whole milk
T1536,pastry
T1536,margarine
T1537,frankfurter
T1537,root vegetables
T1537,rolls
T1537,buns
T1537,vinegar
T1537,sugar
T1537,mustard
T1537,cat food
T1537,napkins
T1538,chicken
T1538,whole milk
T1538,rolls
T1538,buns
T1538,flour
T1538,salt
T1538,vinegar
T1538,sugar
T1539,frankfurter
T1539,ham
T1539,citrus fruit
T1539,other vegetables
T1540,pip fruit
T1540,yogurt
T1540,sliced cheese
T1541,root vegetables
T1541,other vegetables
T1541,whole milk
T1541,rolls
T1541,buns
T1541,bottled water
T1541,dishes
T1541,newspapers
T1542,pip fruit
T1542,other vegetables
T1543,pork
T1543,hamburger meat
T1543,other vegetables
T1543,whole milk
T1543,whipped
T1543,sour cream
T1543,frozen meals
T1543,baking powder
T1543,coffee
T1544,other vegetables
T1544,whipped
T1544,sour cream
T1544,condensed milk
T1544,salt
T1545,pastry
T1545,long life bakery product
T1545,shopping bags
T1546,sausage
T1546,pip fruit
T1546,whipped
T1546,sour cream
T1546,detergent
T1546,dental care
T1547,processed cheese
T1547,red
T1547,blush wine
T1547,newspapers
T1548,napkins
T1549,meat
T1549,whole milk
T1549,whipped
T1549,sour cream
T1549,oil
T1549,pickled vegetables
T1549,long life bakery product
T1549,napkins
T1550,pastry
T1551,sausage
T1551,root vegetables
T1551,other vegetables
T1551,whole milk
T1551,dessert
T1551,canned fruit
T1551,soda
T1551,snack products
T1551,waffles
T1551,shopping bags
T1552,pip fruit
T1552,root vegetables
T1552,whole milk
T1552,ice cream
T1552,bottled beer
T1552,detergent
T1553,frozen vegetables
T1554,citrus fruit
T1554,tropical fruit
T1554,coffee
T1555,other vegetables
T1555,yogurt
T1555,whipped
T1555,sour cream
T1555,soda
T1555,bottled beer
T1555,salty snack
T1556,frankfurter
T1556,frozen dessert
T1556,white wine
T1556,chewing gum
T1556,shopping bags
T1557,sausage
T1558,beef
T1558,other vegetables
T1558,yogurt
T1558,beverages
T1558,rolls
T1558,buns
T1558,flour
T1558,margarine
T1558,cat food
T1558,bottled water
T1558,fruit
T1558,vegetable juice
T1559,hamburger meat
T1559,other vegetables
T1559,whipped
T1559,sour cream
T1559,pastry
T1559,napkins
T1560,yogurt
T1560,margarine
T1560,sugar
T1560,bottled water
T1560,bottled beer
T1560,red
T1560,blush wine
T1560,long life bakery product
T1561,beverages
T1562,whole milk
T1563,rolls
T1563,buns
T1564,tropical fruit
T1564,bottled water
T1564,chewing gum
T1565,citrus fruit
T1565,herbs
T1565,butter
T1565,domestic eggs
T1565,oil
T1565,bottled water
T1565,bottled beer
T1566,whole milk
T1566,yogurt
T1566,whipped
T1566,sour cream
T1566,soft cheese
T1566,candy
T1567,citrus fruit
T1567,tropical fruit
T1567,root vegetables
T1567,yogurt
T1567,roll products 
T1567,margarine
T1567,sugar
T1567,bottled water
T1567,napkins
T1567,house keeping products
T1568,soda
T1569,frankfurter
T1569,yogurt
T1569,beverages
T1569,brown bread
T1569,specialty chocolate
T1569,candy
T1570,sausage
T1570,cream
T1570,cream cheese 
T1570,canned beer
T1571,napkins
T1572,yogurt
T1573,herbs
T1573,oil
T1573,dog food
T1574,sausage
T1574,fish
T1574,UHT-milk
T1575,yogurt
T1575,chocolate
T1576,pork
T1576,other vegetables
T1576,specialty fat
T1577,curd
T1577,mustard
T1577,canned beer
T1578,frankfurter
T1578,sausage
T1578,berries
T1578,whole milk
T1578,yogurt
T1578,brown bread
T1578,pastry
T1578,margarine
T1578,fruit
T1578,vegetable juice
T1578,waffles
T1578,decalcifier
T1578,napkins
T1579,frankfurter
T1579,frozen meals
T1579,semi-finished bread
T1579,shopping bags
T1580,curd
T1580,processed cheese
T1580,rolls
T1580,buns
T1580,pastry
T1580,pickled vegetables
T1580,fruit
T1580,vegetable juice
T1581,liver loaf
T1581,organic sausage
T1581,pastry
T1581,fruit
T1581,vegetable juice
T1581,candles
T1582,pork
T1582,canned fish
T1582,cat food
T1583,specialty bar
T1584,ice cream
T1585,specialty bar
T1586,yogurt
T1586,shopping bags
T1587,frozen vegetables
T1587,coffee
T1588,rolls
T1588,buns
T1588,canned beer
T1588,shopping bags
T1589,pastry
T1589,soda
T1590,pork
T1590,beef
T1590,citrus fruit
T1590,root vegetables
T1590,other vegetables
T1590,whole milk
T1590,rolls
T1590,buns
T1590,flour
T1590,pasta
T1590,oil
T1590,waffles
T1590,seasonal products
T1590,female sanitary products
T1591,curd
T1591,bottled water
T1591,photo
T1591,film
T1592,beef
T1592,citrus fruit
T1592,root vegetables
T1592,butter
T1592,yogurt
T1592,whipped
T1592,sour cream
T1592,frozen meals
T1592,pasta
T1592,oil
T1592,fruit
T1592,vegetable juice
T1592,waffles
T1592,dishes
T1592,cookware
T1593,yogurt
T1593,bottled water
T1593,male cosmetics
T1594,chicken
T1594,other vegetables
T1594,whole milk
T1594,curd
T1594,ice cream
T1594,rolls
T1594,buns
T1594,sugar
T1594,soda
T1594,napkins
T1594,pot plants
T1595,detergent
T1596,pip fruit
T1596,sweet spreads
T1596,coffee
T1596,napkins
T1596,dishes
T1597,coffee
T1597,chocolate
T1598,tropical fruit
T1598,berries
T1598,yogurt
T1598,soda
T1598,red
T1598,blush wine
T1599,sauces
T1599,softener
T1600,pork
T1600,onions
T1600,other vegetables
T1600,bottled beer
T1601,yogurt
T1601,condensed milk
T1601,rolls
T1601,buns
T1601,pickled vegetables
T1601,bottled water
T1601,brandy
T1602,napkins
T1602,dishes
T1603,other vegetables
T1603,rolls
T1603,buns
T1603,canned fish
T1604,chicken
T1604,citrus fruit
T1604,onions
T1604,bottled water
T1605,pork
T1605,onions
T1605,rolls
T1605,buns
T1605,margarine
T1605,canned vegetables
T1605,soda
T1605,salty snack
T1605,house keeping products
T1606,root vegetables
T1607,ham
T1607,tropical fruit
T1607,pip fruit
T1607,other vegetables
T1607,whole milk
T1607,processed cheese
T1607,frozen vegetables
T1607,brown bread
T1607,soda
T1607,shopping bags
T1608,whole milk
T1608,rolls
T1608,buns
T1609,soda
T1609,bottled beer
T1609,house keeping products
T1610,rolls
T1610,buns
T1610,margarine
T1611,tropical fruit
T1611,soft cheese
T1611,rolls
T1611,buns
T1611,chocolate
T1612,tropical fruit
T1612,pip fruit
T1612,brown bread
T1613,sausage
T1613,hamburger meat
T1613,tropical fruit
T1613,root vegetables
T1613,whole milk
T1613,UHT-milk
T1613,domestic eggs
T1613,rolls
T1613,buns
T1613,semi-finished bread
T1613,margarine
T1613,pickled vegetables
T1613,soda
T1613,fruit
T1613,vegetable juice
T1614,bottled beer
T1615,turkey
T1615,tropical fruit
T1615,yogurt
T1615,UHT-milk
T1615,brown bread
T1615,pastry
T1616,meat
T1616,rolls
T1616,buns
T1616,specialty chocolate
T1617,whole milk
T1617,coffee
T1617,female sanitary products
T1617,shopping bags
T1618,soda
T1618,canned beer
T1619,rolls
T1619,buns
T1619,canned beer
T1620,dessert
T1620,UHT-milk
T1620,rolls
T1620,buns
T1620,pastry
T1620,canned beer
T1621,sausage
T1621,other vegetables
T1621,sliced cheese
T1621,mustard
T1621,fruit
T1621,vegetable juice
T1622,pork
T1622,onions
T1622,other vegetables
T1622,butter milk
T1623,hamburger meat
T1623,other vegetables
T1623,hard cheese
T1623,frozen vegetables
T1624,sausage
T1624,beverages
T1624,sliced cheese
T1624,rolls
T1624,buns
T1624,specialty bar
T1624,shopping bags
T1625,rolls
T1625,buns
T1625,soda
T1625,canned beer
T1625,waffles
T1625,shopping bags
T1626,misc. beverages
T1626,chocolate
T1627,pastry
T1627,long life bakery product
T1628,soda
T1628,fruit
T1628,vegetable juice
T1629,whole milk
T1630,domestic eggs
T1630,long life bakery product
T1630,seasonal products
T1631,soda
T1632,pip fruit
T1633,yogurt
T1633,UHT-milk
T1633,domestic eggs
T1633,rolls
T1633,buns
T1634,frankfurter
T1634,pork
T1634,pip fruit
T1635,specialty chocolate
T1636,sausage
T1636,white bread
T1636,bottled beer
T1637,oil
T1638,tropical fruit
T1638,pip fruit
T1638,soda
T1638,bottled beer
T1638,popcorn
T1639,citrus fruit
T1639,other vegetables
T1639,whole milk
T1640,napkins
T1641,whole milk
T1641,rolls
T1641,buns
T1642,coffee
T1643,tropical fruit
T1643,newspapers
T1644,canned beer
T1645,bottled beer
T1646,canned beer
T1647,rum
T1648,rolls
T1648,buns
T1648,margarine
T1648,newspapers
T1649,pastry
T1650,whole milk
T1650,dessert
T1651,grapes
T1651,root vegetables
T1651,other vegetables
T1651,roll products 
T1651,pasta
T1651,oil
T1651,margarine
T1651,coffee
T1651,bottled water
T1651,detergent
T1652,whole milk
T1653,yogurt
T1653,rolls
T1653,buns
T1654,root vegetables
T1654,other vegetables
T1654,whole milk
T1654,yogurt
T1654,rolls
T1654,buns
T1654,chewing gum
T1654,candles
T1655,pastry
T1656,canned beer
T1657,sausage
T1658,tropical fruit
T1658,other vegetables
T1658,yogurt
T1658,spread cheese
T1658,soda
T1659,frankfurter
T1659,citrus fruit
T1659,tropical fruit
T1659,whole milk
T1659,butter
T1659,whipped
T1659,sour cream
T1660,rolls
T1660,buns
T1661,frankfurter
T1661,pip fruit
T1661,other vegetables
T1661,whole milk
T1662,sausage
T1662,other vegetables
T1662,newspapers
T1662,shopping bags
T1663,whole milk
T1663,rolls
T1663,buns
T1664,whole milk
T1664,canned beer
T1665,whole milk
T1665,frozen vegetables
T1666,ham
T1666,pip fruit
T1666,herbs
T1666,other vegetables
T1666,butter
T1666,rolls
T1666,buns
T1666,white bread
T1666,oil
T1666,canned fish
T1666,soda
T1667,whole milk
T1667,yogurt
T1667,white bread
T1667,newspapers
T1668,beef
T1668,citrus fruit
T1668,pip fruit
T1668,yogurt
T1668,rolls
T1668,buns
T1668,flour
T1668,margarine
T1668,soups
T1668,bottled water
T1669,domestic eggs
T1669,rolls
T1669,buns
T1669,soda
T1670,soda
T1670,waffles
T1671,whole milk
T1671,yogurt
T1671,beverages
T1671,mustard
T1671,bottled water
T1671,newspapers
T1672,ham
T1672,pip fruit
T1672,whole milk
T1672,rolls
T1672,buns
T1672,honey
T1672,newspapers
T1673,curd
T1673,yogurt
T1673,mayonnaise
T1673,brown bread
T1673,margarine
T1673,sugar
T1673,ketchup
T1673,dish cleaner
T1673,cling film
T1673,bags
T1674,bottled water
T1675,butter milk
T1675,coffee
T1676,pork
T1676,other vegetables
T1677,pork
T1677,onions
T1677,shopping bags
T1678,turkey
T1678,other vegetables
T1678,whole milk
T1678,oil
T1678,instant coffee
T1678,specialty bar
T1679,cream cheese 
T1679,soda
T1680,tropical fruit
T1680,berries
T1680,root vegetables
T1680,other vegetables
T1680,yogurt
T1680,rolls
T1680,buns
T1680,shopping bags
T1681,rolls
T1681,buns
T1682,citrus fruit
T1682,other vegetables
T1682,whole milk
T1682,margarine
T1682,bottled beer
T1682,newspapers
T1683,frankfurter
T1683,sausage
T1683,root vegetables
T1683,yogurt
T1683,mayonnaise
T1683,rolls
T1683,buns
T1683,brown bread
T1683,roll products 
T1683,margarine
T1683,coffee
T1684,whipped
T1684,sour cream
T1685,tropical fruit
T1685,butter
T1685,butter milk
T1685,brown bread
T1685,long life bakery product
T1686,frankfurter
T1686,pip fruit
T1686,rolls
T1686,buns
T1686,bottled water
T1687,sausage
T1687,tropical fruit
T1687,whole milk
T1687,processed cheese
T1687,frozen vegetables
T1687,domestic eggs
T1687,rolls
T1687,buns
T1687,white bread
T1687,rice
T1687,soda
T1687,detergent
T1687,softener
T1687,decalcifier
T1687,napkins
T1687,shopping bags
T1688,sausage
T1688,citrus fruit
T1688,tropical fruit
T1688,whole milk
T1688,bottled water
T1688,specialty bar
T1688,detergent
T1688,newspapers
T1689,sausage
T1689,rolls
T1689,buns
T1689,soda
T1689,specialty bar
T1690,sliced cheese
T1690,rolls
T1690,buns
T1690,margarine
T1690,soda
T1690,shopping bags
T1691,candy
T1692,tropical fruit
T1692,berries
T1692,pickled vegetables
T1692,pet care
T1692,soda
T1693,pip fruit
T1693,whole milk
T1693,butter milk
T1693,cream cheese 
T1693,domestic eggs
T1693,rolls
T1693,buns
T1693,brown bread
T1694,citrus fruit
T1694,tropical fruit
T1694,grapes
T1694,dessert
T1694,cream cheese 
T1694,rolls
T1694,buns
T1694,bottled water
T1694,fruit
T1694,vegetable juice
T1695,hamburger meat
T1695,pip fruit
T1695,other vegetables
T1695,butter
T1695,cream cheese 
T1695,mayonnaise
T1695,domestic eggs
T1695,pastry
T1695,rice
T1695,margarine
T1695,canned fruit
T1695,canned fish
T1695,coffee
T1695,tea
T1695,candles
T1696,other vegetables
T1696,whole milk
T1696,curd
T1696,spread cheese
T1696,curd cheese
T1696,rolls
T1696,buns
T1696,brown bread
T1696,Instant food products
T1696,coffee
T1697,nuts
T1697,prunes
T1697,rolls
T1697,buns
T1697,soda
T1698,ham
T1698,beef
T1698,other vegetables
T1698,newspapers
T1699,ham
T1699,rolls
T1699,buns
T1700,butter
T1700,bottled beer
T1700,liquor
T1701,napkins
T1702,beef
T1702,root vegetables
T1702,margarine
T1702,bottled water
T1702,soda
T1703,frankfurter
T1703,hamburger meat
T1704,meat
T1704,citrus fruit
T1704,other vegetables
T1704,canned beer
T1705,whole milk
T1705,curd
T1705,mayonnaise
T1705,pastry
T1705,flour
T1705,canned fish
T1705,waffles
T1706,sausage
T1706,other vegetables
T1706,rolls
T1706,buns
T1706,soda
T1707,sausage
T1707,other vegetables
T1708,rolls
T1708,buns
T1708,soda
T1709,root vegetables
T1709,white bread
T1709,sugar
T1709,liquor
T1710,sausage
T1710,root vegetables
T1710,whole milk
T1710,butter
T1710,misc. beverages
T1711,sausage
T1711,root vegetables
T1711,other vegetables
T1711,whole milk
T1711,curd
T1711,yogurt
T1711,hard cheese
T1711,white bread
T1712,meat
T1712,pork
T1712,onions
T1712,salad dressing
T1712,domestic eggs
T1712,white bread
T1712,flour
T1712,salt
T1712,bottled beer
T1713,sausage
T1713,whole milk
T1713,yogurt
T1713,pastry
T1713,pudding powder
T1713,bottled water
T1713,soda
T1713,bottled beer
T1713,canned beer
T1713,male cosmetics
T1713,flower (seeds)
T1714,citrus fruit
T1715,chocolate
T1715,candy
T1716,coffee
T1717,sausage
T1717,tropical fruit
T1717,pip fruit
T1717,other vegetables
T1717,whole milk
T1717,curd
T1717,dessert
T1717,yogurt
T1717,whipped
T1717,sour cream
T1717,cream cheese 
T1717,brown bread
T1717,detergent
T1718,beef
T1718,citrus fruit
T1718,tropical fruit
T1718,pip fruit
T1718,dessert
T1718,cream cheese 
T1718,rolls
T1718,buns
T1718,chocolate
T1719,berries
T1719,other vegetables
T1719,butter milk
T1719,yogurt
T1719,sliced cheese
T1719,rolls
T1719,buns
T1719,soda
T1720,frozen meals
T1720,oil
T1720,bottled water
T1720,bottled beer
T1720,flower (seeds)
T1721,beef
T1721,herbs
T1721,whole milk
T1722,sausage
T1722,meat
T1722,root vegetables
T1722,other vegetables
T1722,whole milk
T1722,butter milk
T1722,yogurt
T1722,pastry
T1722,waffles
T1723,rolls
T1723,buns
T1724,frankfurter
T1724,rolls
T1724,buns
T1724,fruit
T1724,vegetable juice
T1725,sausage
T1725,pork
T1725,whole milk
T1725,yogurt
T1725,rolls
T1725,buns
T1725,brown bread
T1725,napkins
T1725,shopping bags
T1726,pip fruit
T1726,whole milk
T1726,whipped
T1726,sour cream
T1726,baking powder
T1727,grapes
T1727,whole milk
T1727,baking powder
T1727,candles
T1727,photo
T1727,film
T1728,chocolate marshmallow
T1729,coffee
T1730,soda
T1730,white wine
T1731,bottled beer
T1731,liquor
T1731,red
T1731,blush wine
T1732,butter
T1732,cleaner
T1733,fruit
T1733,vegetable juice
T1733,nut snack
T1734,meat
T1734,specialty bar
T1735,pip fruit
T1735,butter
T1735,curd
T1735,chocolate
T1736,other vegetables
T1736,domestic eggs
T1737,frankfurter
T1737,white bread
T1737,pastry
T1737,dog food
T1737,soda
T1737,shopping bags
T1738,long life bakery product
T1739,tropical fruit
T1739,whole milk
T1739,sliced cheese
T1739,mayonnaise
T1739,rolls
T1739,buns
T1739,mustard
T1740,whole milk
T1740,white bread
T1740,salty snack
T1741,canned beer
T1742,canned beer
T1743,other vegetables
T1743,whipped
T1743,sour cream
T1743,pastry
T1743,red
T1743,blush wine
T1744,soda
T1745,rolls
T1745,buns
T1745,soda
T1745,specialty bar
T1745,candy
T1745,newspapers
T1746,bags
T1747,rolls
T1747,buns
T1748,dessert
T1748,frozen dessert
T1749,canned beer
T1750,butter
T1750,domestic eggs
T1750,pasta
T1750,fruit
T1750,vegetable juice
T1750,newspapers
T1751,whole milk
T1751,butter
T1751,yogurt
T1751,frozen vegetables
T1751,domestic eggs
T1751,sugar
T1752,canned beer
T1753,coffee
T1754,chicken
T1754,hamburger meat
T1754,pip fruit
T1754,onions
T1754,other vegetables
T1754,whole milk
T1754,butter
T1754,yogurt
T1754,whipped
T1754,sour cream
T1754,white bread
T1754,long life bakery product
T1754,chocolate
T1755,soda
T1755,long life bakery product
T1756,beef
T1756,other vegetables
T1756,domestic eggs
T1756,pastry
T1757,spread cheese
T1757,pastry
T1758,citrus fruit
T1758,tropical fruit
T1758,other vegetables
T1758,pot plants
T1759,canned beer
T1760,rolls
T1760,buns
T1760,soda
T1761,pip fruit
T1761,roll products 
T1761,pot plants
T1762,pip fruit
T1763,whole milk
T1763,baking powder
T1763,bottled water
T1763,soda
T1763,cooking chocolate
T1763,candles
T1764,chocolate
T1765,sausage
T1765,whole milk
T1765,rolls
T1765,buns
T1765,canned beer
T1766,pip fruit
T1766,whole milk
T1767,other vegetables
T1767,rolls
T1767,buns
T1768,dessert
T1768,sliced cheese
T1768,hard cheese
T1768,white bread
T1768,brown bread
T1769,frankfurter
T1770,citrus fruit
T1770,other vegetables
T1770,butter
T1770,candy
T1771,citrus fruit
T1771,UHT-milk
T1771,napkins
T1772,pip fruit
T1772,curd
T1772,soda
T1772,bottled beer
T1772,softener
T1772,hygiene articles
T1773,tropical fruit
T1773,root vegetables
T1773,whole milk
T1773,curd
T1773,yogurt
T1773,frozen vegetables
T1773,domestic eggs
T1774,frankfurter
T1774,other vegetables
T1774,whole milk
T1774,yogurt
T1774,condensed milk
T1774,cream cheese 
T1774,rolls
T1774,buns
T1774,pastry
T1775,pip fruit
T1775,other vegetables
T1775,butter milk
T1775,frozen vegetables
T1775,brown bread
T1775,soups
T1775,sauces
T1775,fruit
T1775,vegetable juice
T1775,long life bakery product
T1775,cling film
T1775,bags
T1776,canned beer
T1777,pork
T1777,citrus fruit
T1777,soda
T1777,canned beer
T1777,chocolate
T1777,hygiene articles
T1778,rolls
T1778,buns
T1778,newspapers
T1779,canned beer
T1780,citrus fruit
T1780,tropical fruit
T1780,pip fruit
T1780,other vegetables
T1781,grapes
T1781,whole milk
T1781,white wine
T1781,dishes
T1781,newspapers
T1782,tropical fruit
T1783,frozen fish
T1783,hygiene articles
T1783,shopping bags
T1784,tropical fruit
T1784,pastry
T1784,soda
T1785,beverages
T1785,pastry
T1786,sausage
T1786,pip fruit
T1786,whole milk
T1786,potato products
T1787,whole milk
T1788,sausage
T1788,specialty cheese
T1788,misc. beverages
T1788,bottled beer
T1789,pork
T1789,white bread
T1789,pastry
T1789,shopping bags
T1790,whole milk
T1790,rolls
T1790,buns
T1790,newspapers
T1791,sausage
T1791,whole milk
T1791,dessert
T1791,spices
T1791,bottled beer
T1792,pastry
T1792,soda
T1793,soda
T1794,tropical fruit
T1794,grapes
T1794,whole milk
T1794,canned fish
T1794,bottled water
T1794,fruit
T1794,vegetable juice
T1795,whole milk
T1795,bottled water
T1795,napkins
T1796,canned beer
T1797,pip fruit
T1797,whole milk
T1798,turkey
T1798,citrus fruit
T1798,tropical fruit
T1798,pip fruit
T1798,berries
T1798,root vegetables
T1798,herbs
T1798,whole milk
T1798,butter
T1798,frozen vegetables
T1798,sauces
T1798,pickled vegetables
T1798,bottled water
T1798,rubbing alcohol
T1798,hygiene articles
T1798,napkins
T1798,flower (seeds)
T1799,yogurt
T1799,specialty chocolate
T1799,seasonal products
T1800,whipped
T1800,sour cream
T1800,baking powder
T1801,finished products
T1801,tropical fruit
T1801,bottled water
T1801,popcorn
T1801,shopping bags
T1802,sausage
T1802,mayonnaise
T1802,misc. beverages
T1802,candy
T1803,other vegetables
T1803,cream cheese 
T1803,rolls
T1803,buns
T1804,newspapers
T1805,white wine
T1806,sausage
T1806,meat
T1806,pip fruit
T1806,other vegetables
T1806,yogurt
T1806,rolls
T1806,buns
T1806,brown bread
T1806,bottled water
T1806,soda
T1806,fruit
T1806,vegetable juice
T1806,newspapers
T1807,misc. beverages
T1808,yogurt
T1808,UHT-milk
T1808,soda
T1808,red
T1808,blush wine
T1808,waffles
T1809,beef
T1809,frozen fish
T1809,rolls
T1809,buns
T1809,margarine
T1810,other vegetables
T1811,photo
T1811,film
T1812,tropical fruit
T1813,sausage
T1813,meat
T1813,tropical fruit
T1813,soda
T1813,hygiene articles
T1814,frankfurter
T1814,citrus fruit
T1814,rolls
T1814,buns
T1814,flour
T1814,long life bakery product
T1815,tropical fruit
T1815,pip fruit
T1815,root vegetables
T1815,whole milk
T1815,yogurt
T1815,rolls
T1815,buns
T1815,sweet spreads
T1815,cat food
T1815,pet care
T1815,hygiene articles
T1815,shopping bags
T1816,citrus fruit
T1816,UHT-milk
T1816,zwieback
T1816,bottled water
T1816,hygiene articles
T1817,pork
T1817,bottled water
T1817,bottled beer
T1818,soda
T1818,house keeping products
T1819,whole milk
T1820,cookware
T1821,butter
T1821,rolls
T1821,buns
T1821,newspapers
T1822,frozen vegetables
T1822,sugar
T1822,coffee
T1823,chicken
T1823,dessert
T1823,yogurt
T1823,frozen vegetables
T1823,domestic eggs
T1823,salt
T1823,pasta
T1823,specialty fat
T1823,bottled water
T1823,newspapers
T1824,frankfurter
T1824,root vegetables
T1824,whole milk
T1824,butter milk
T1824,whipped
T1824,sour cream
T1824,rolls
T1824,buns
T1824,pastry
T1824,vinegar
T1824,coffee
T1824,bottled water
T1824,dish cleaner
T1824,female sanitary products
T1825,tropical fruit
